time=2021-10-26T22:10:39Z level=info msg=session initialize successfully, listening for messages
time=2021-10-26T22:11:26Z level=info msg=session initialize successfully, listening for messages
time=2021-10-26T22:12:24Z level=info msg=session initialize successfully, listening for messages
time=2021-10-26T22:13:12Z level=info msg=session initialize successfully, listening for messages
time=2021-10-26T22:13:25Z level=info msg=session initialize successfully, listening for messages
time=2021-10-26T22:14:04Z level=info msg=session initialize successfully, listening for messages
time=2021-10-26T22:34:10Z level=info msg=session initialize successfully, listening for messages
time=2021-10-26T22:34:47Z level=info msg=session initialize successfully, listening for messages
time=2021-10-26T22:36:15Z level=info msg=session initialize successfully, listening for messages
time=2021-10-26T22:38:19Z level=info msg=session initialize successfully, listening for messages
time=2021-10-26T22:38:39Z level=info msg=session initialize successfully, listening for messages
