time=2021-10-29T00:04:37Z level=info msg=session initialize successfully, listening for messages
time=2021-10-29T00:11:04Z level=info msg=session initialize successfully, listening for messages
time=2021-10-29T00:11:15Z level=info msg=session initialize successfully, listening for messages
time=2021-10-29T00:13:31Z level=info msg=session initialize successfully, listening for messages
time=2021-10-29T00:14:24Z level=info msg=session initialize successfully, listening for messages
time=2021-10-29T00:22:19Z level=info msg=session initialize successfully, listening for messages
time=2021-10-29T00:25:23Z level=info msg=session initialize successfully, listening for messages
time=2021-10-29T00:27:01Z level=info msg=session initialize successfully, listening for messages
time=2021-10-29T00:36:35Z level=info msg=session initialize successfully, listening for messages
time=2021-10-29T00:38:03Z level=info msg=session initialize successfully, listening for messages
time=2021-10-29T00:40:31Z level=info msg=session initialize successfully, listening for messages
time=2021-10-29T00:47:46Z level=info msg=session initialize successfully, listening for messages
time=2021-10-29T00:48:17Z level=info msg=session initialize successfully, listening for messages
time=2021-10-29T00:49:36Z level=info msg=session initialize successfully, listening for messages
time=2021-10-29T00:51:40Z level=info msg=session initialize successfully, listening for messages
time=2021-10-29T00:52:17Z level=info msg=session initialize successfully, listening for messages
