time=2021-10-29T01:02:42Z level=info msg=session initialize successfully, listening for messages
time=2021-10-29T01:08:13Z level=info msg=session initialize successfully, listening for messages
time=2021-10-29T01:09:09Z level=info msg=session initialize successfully, listening for messages
time=2021-10-29T01:09:35Z level=info msg=session initialize successfully, listening for messages
time=2021-10-29T01:10:07Z level=info msg=session initialize successfully, listening for messages
time=2021-10-29T01:12:40Z level=info msg=session initialize successfully, listening for messages
time=2021-10-29T01:14:51Z level=info msg=session initialize successfully, listening for messages
time=2021-10-29T01:15:30Z level=info msg=session initialize successfully, listening for messages
time=2021-10-29T01:16:54Z level=info msg=session initialize successfully, listening for messages
time=2021-10-29T01:20:46Z level=info msg=session initialize successfully, listening for messages
time=2021-10-29T01:21:04Z level=info msg=session initialize successfully, listening for messages
time=2021-10-29T01:22:30Z level=info msg=session initialize successfully, listening for messages
